PlayerName,KP%,VSPM,Avg WPM,Avg WCPM,Avg VWPM,Cluster
alvaro,0.622,3.59,1.91,0.52,0.49,0
busio,0.669,3.75,1.98,0.5,0.44,0
corejj,0.7829999999999999,3.68,1.7,0.51,0.46,2
crisp,0.7509999999999999,4.25,2.39,0.52,0.63,1
delight,0.765,3.77,1.95,0.52,0.52,2
elio,0.672,3.52,1.99,0.48,0.49,0
hang,0.7140000000000001,3.86,2.06,0.52,0.57,1
jun,0.8,3.29,1.71,0.43,0.44,2
keria,0.8029999999999999,3.94,2.43,0.41,0.6,1
kuri,0.672,3.72,2.37,0.45,0.51,0
lehends,0.653,3.71,2.16,0.44,0.62,0
meiko,0.716,3.58,1.73,0.59,0.52,2
mikyx,0.736,4.1,2.22,0.53,0.55,1
moham,0.7979999999999999,3.9,2.22,0.58,0.63,1
on,0.66,4.08,2.36,0.57,0.67,1
woody,0.8059999999999999,3.47,2.03,0.33,0.56,0
